"id_subj","group","n_trial","rt","acc","identity"
"CNTRL02","CTRL",73,0.6779,1,"matching TU"
"CNTRL02","CTRL",74,0.9481,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",75,0.6042,1,"matching TU"
"CNTRL02","CTRL",76,1.084,1,"non-matching TU"
"CNTRL02","CTRL",77,0.8632,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",78,0.8985,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",79,0.7439,1,"non-matching TU"
"CNTRL02","CTRL",80,1.082,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",81,0.805,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",82,0.6878,1,"matching TU"
"CNTRL02","CTRL",83,0.8349,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",84,1.0889,1,"non-matching TU"
"CNTRL02","CTRL",85,0.9212,1,"non-matching TU"
"CNTRL02","CTRL",86,0.6924,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",87,0.983,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",88,0.6578,1,"matching TU"
"CNTRL02","CTRL",89,0.8951,1,"non-matching TU"
"CNTRL02","CTRL",90,0.9477,1,"matching TU"
"CNTRL02","CTRL",91,1.2652,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",92,0.9265,1,"non-matching TU"
"CNTRL02","CTRL",93,0.9448,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",94,0.8118,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",95,0.9589,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",96,0.6861,1,"matching TU"
"CNTRL02","CTRL",97,0.7706,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",98,1.0912,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",99,0.7478,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",100,0.8654,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",101,0.8331,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",102,0.9112,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",103,0.8973,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",104,0.9594,1,"non-matching TU"
"CNTRL02","CTRL",105,0.8564,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",106,0.9692,1,"non-matching TU"
"CNTRL02","CTRL",107,0.8608,1,"non-matching TU"
"CNTRL02","CTRL",108,1.1437,1,"matching TU"
"CNTRL02","CTRL",109,1.1041,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",110,0.8431,1,"non-matching TU"
"CNTRL02","CTRL",111,1.0602,1,"non-matching TU"
"CNTRL02","CTRL",112,0.8401,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",113,1.0848,1,"non-matching TU"
"CNTRL02","CTRL",114,0.8307,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",115,1.313,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",116,1.032,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",117,0.7636,1,"matching TU"
"CNTRL02","CTRL",118,0.793,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",119,0.8732,1,"non-matching TU"
"CNTRL02","CTRL",120,0.6239,0,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",121,1.0164,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",122,0.9115,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",123,NA,0,"matching SCONOSCIUTO"
"CNTRL02","CTRL",124,0.7419,0,"non-matching TU"
"CNTRL02","CTRL",125,0.8527,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",126,0.8266,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",127,0.9138,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",128,0.7172,1,"non-matching TU"
"CNTRL02","CTRL",129,0.719,1,"matching TU"
"CNTRL02","CTRL",130,0.7881,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",131,0.9453,1,"non-matching TU"
"CNTRL02","CTRL",132,NA,0,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",133,1.0443,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",134,0.9566,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",135,0.7899,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",136,0.7439,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",137,1.0279,1,"matching TU"
"CNTRL02","CTRL",138,0.7033,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",139,0.5996,1,"matching TU"
"CNTRL02","CTRL",140,0.9707,1,"non-matching TU"
"CNTRL02","CTRL",141,0.7434,1,"matching TU"
"CNTRL02","CTRL",142,0.8898,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",143,0.6713,1,"matching TU"
"CNTRL02","CTRL",144,0.8334,1,"matching TU"
